district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Téti,Győr-Moson-Sopron,0.1893989990034427,148.62407216307625,3656152.1752116755,1173381.7092592474,-2482770.465952428,0.3209334986696263
Tiszakécskei,Bács-Kiskun,0.186273426007113,232.54780553765275,5720676.016226257,2511256.9328188384,-3209419.083407419,0.43897905172323193
Zalaegerszegi,Zala,0.18614289202886605,804.3292251793187,19786498.939411238,6717801.1000120165,-13068697.839399222,0.33951438910859233
Nagykátai,Pest,0.18515320065875263,823.045831841189,20246927.46329325,3242762.8847648706,-17004164.578528382,0.16016073997616925
Ceglédi,Pest,0.1774953716532199,982.8420241575767,24177913.794276386,3872352.5643713367,-20305561.22990505,0.16016073997616928
Dabasi,Pest,0.17590424779797897,571.8644877329425,14067866.398230385,2253119.8922264655,-11814746.50600392,0.16016073997616925
Sümegi,Veszprém,0.1708085414646199,131.47568795944466,3234301.9238023385,368734.5615230332,-2865567.3622793052,0.11400746442667857
Budapest 09. ker.,főváros,0.1688773659415699,542.9558865155927,13356714.808283582,4319767.630929422,-9036947.17735416,0.3234154275908012
Gárdonyi,Fejér,0.1608791329006497,354.26380056921636,8714889.494002722,4457417.837533548,-4257471.656469175,0.5114715270458661
Zirci,Veszprém,0.15669994186691835,166.465638676002,4095054.7114296486,466866.80433861807,-3628187.9070910304,0.11400746442667856
Budapest 18. ker.,főváros,0.1545009853372489,815.4809780221568,20060832.059345055,6487982.578300335,-13572849.48104472,0.3234154275908013
Szegedi,Csongrád-Csanád,0.15260754546634525,1786.5726390119416,43949686.91969376,27317699.343710143,-16631987.575983617,0.6215675527706465
Budapest 04. ker.,főváros,0.14928123385063663,798.3331321544576,19638995.050999656,6351553.981872685,-13287441.069126971,0.32341542759080133
Budapest 13. ker.,főváros,0.14810980192897027,1026.2814400286313,25246523.42470433,8165115.168581932,-17081408.256122395,0.32341542759080133
Devecseri,Veszprém,0.14577825442146092,128.66637838766167,3165192.908336477,360855.6179007462,-2804337.2904357305,0.11400746442667857
Budapest 07. ker.,főváros,0.1456976960046495,471.1278630031505,11589745.429877501,3748302.4738723673,-7841442.956005134,0.32341542759080133
Bicskei,Fejér,0.14527244907934922,357.9711598638958,8806090.532651836,4504064.572039577,-4302025.960612259,0.5114715270458658
Várpalotai,Veszprém,0.13877538836285597,327.0738668948364,8046017.125612974,917306.011224768,-7128711.114388206,0.11400746442667861
Budapest 17. ker.,főváros,0.13861566371523715,687.2084907246236,16905328.87182574,5467444.165644641,-11437884.706181098,0.32341542759080133
Váci,Pest,0.13683953411429936,782.9093095603558,19259569.015184753,3084626.8250940912,-16174942.190090662,0.16016073997616925
Keszthelyi,Zala,0.13222378433495025,386.37649198499355,9504861.70283084,3227037.3145982674,-6277824.388232572,0.33951438910859233
Budapest 15. ker.,főváros,0.13013654515957135,633.6325785058538,15587361.431244,5041193.162298143,-10546168.268945858,0.3234154275908013
Budapest 23. ker.,főváros,0.1222200251528912,190.23827821249046,4679861.644027265,1513539.4546688683,-3166322.1893583965,0.32341542759080133
Győri,Győr-Moson-Sopron,0.12214805742226675,1984.4650822239457,48817841.022709064,15667280.516915623,-33150560.50579344,0.3209334986696262
Pápai,Veszprém,0.1200675865812605,495.1548585746137,12180809.520935496,1388703.2081462012,-10792106.312789295,0.11400746442667857
Zalaszentgróti,Zala,0.11952611438161868,116.24859038840184,2859715.323554685,970914.5011011494,-1888800.8224535356,0.33951438910859233
Budapest 03. ker.,főváros,0.11596396520647856,1007.4708496689495,24783782.901856158,8015457.744521399,-16768325.15733476,0.3234154275908013
Nyíregyházi,Szabolcs-Szatmár-Bereg,0.11467124966404134,1767.0673139158575,43469855.92233009,14078837.951941745,-29391017.970388345,0.32387588256784555
Budapest 01. ker.,főváros,0.11350382308417899,192.45950177048255,4734503.74355387,1531211.5526517245,-3203292.1909021456,0.32341542759080133
Tapolcai,Veszprém,0.11075744215551271,288.3615809956666,7093694.892493398,808734.1681096525,-6284960.724383745,0.11400746442667856
Budapest 22. ker.,főváros,0.10797330484793315,454.3988764349585,11178212.360299978,3615206.3302071975,-7563006.030092781,0.3234154275908013
Veszprémi,Veszprém,0.10660207677041757,735.3648735099196,18089975.88834402,2062392.2825698536,-16027583.605774166,0.11400746442667856
Budapest 05. ker.,főváros,0.10243998529918952,208.74424362707617,5135108.393226074,1660773.2767203231,-3474335.116505751,0.3234154275908013
Gyáli,Pest,0.10229247208217455,502.61833485522465,12364411.037438525,1980293.2211256684,-10384117.816312857,0.16016073997616923
Budapest 11. ker.,főváros,0.10209840906828309,1197.70912788144,29463644.545883425,9528997.199190268,-19934647.34669316,0.3234154275908013
